floor_area_sqm,resale_price,lat,lon,lease_commence_year_before_2020,tn_BEDOK,tn_BISHAN,tn_BUKIT BATOK,tn_BUKIT MERAH,tn_BUKIT PANJANG,tn_BUKIT TIMAH,tn_CENTRAL AREA,tn_CHOA CHU KANG,tn_CLEMENTI,tn_GEYLANG,tn_HOUGANG,tn_JURONG EAST,tn_JURONG WEST,tn_KALLANG/WHAMPOA,tn_MARINE PARADE,tn_PASIR RIS,tn_PUNGGOL,tn_QUEENSTOWN,tn_SEMBAWANG,tn_SENGKANG,tn_SERANGOON,tn_TAMPINES,tn_TOA PAYOH,tn_WOODLANDS,tn_YISHUN,ft_2 ROOM,ft_3 ROOM,ft_4 ROOM,ft_5 ROOM,ft_EXECUTIVE,ft_MULTI-GENERATION,sr_04 TO 06,sr_07 TO 09,sr_10 TO 12,sr_13 TO 15,sr_16 TO 18,sr_19 TO 21,sr_22 TO 24,sr_25 TO 27,sr_28 TO 30,sr_31 TO 33,sr_34 TO 36,sr_37 TO 39,sr_40 TO 42,sr_43 TO 45,sr_46 TO 48,sr_49 TO 51,fm_Adjoined flat,fm_Apartment,fm_DBSS,fm_Improved,fm_Improved-Maisonette,fm_Maisonette,fm_Model A,fm_Model A-Maisonette,fm_Model A2,fm_Multi Generation,fm_New Generation,fm_Premium Apartment,fm_Premium Apartment Loft,fm_Premium Maisonette,fm_Simplified,fm_Standard,fm_Terrace,fm_Type S1,fm_Type S2
84.0,305.0,1.4354775412800198,103.839276532996,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
97.0,780.0,1.29375107969483,103.811956712048,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
104.0,305.0,1.4026789634991002,103.747562464245,21,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
121.0,515.0,1.41177094390455,103.83336826951,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
74.0,275.0,1.37762112372221,103.755740001262,41,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
143.0,625.0,1.33927933228555,103.723441613129,23,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
104.0,445.0,1.35440348404391,103.932702288284,32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
67.0,448.0,1.42735308102406,103.84121918037,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
112.0,540.0,1.40094652941197,103.900708420292,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
110.0,438.0,1.3872879277191,103.893598492628,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
