school_name,vacancy_rate_0,vacancy_rate_1,vacancy_rate_2,vacancy_rate_3,lat,lon
zhonghua primary school,0.3,0.66,0.66,0.794444444,1.360166735,103.8696959
tampines north primary school,0.328571429,0.638888889,0.65,0.7,1.36069172,103.9489368
juying primary school,0.39047619,0.806666667,0.833333333,0.894444444,1.338951451,103.6878331
xingnan primary school,0.279166667,0.433333333,0.35,0.4,1.342684876,103.687724
north spring primary school,0.354166667,0.7375,0.647619048,0.751851852,1.387528236,103.903513
princess elizabeth primary school,0.195833333,0.419047619,0.328571429,0.314285714,1.349194518,103.7409996
meridian primary school,0.32,0.566666667,0.766666667,0.738888889,1.375970831,103.9351432
evergreen primary school,0.270833333,0.542857143,0.519047619,0.438095238,1.444148359,103.7945453
mayflower primary school,0.285714286,0.65,0.666666667,0.672222222,1.376398737,103.8431658
west view primary school,0.35,0.773333333,0.653333333,0.814285714,1.383590574,103.7602891
anglo-chinese school (junior),0.214814815,0.181481481,0.218518519,0.151851852,1.309322527,103.8415521
tampines primary school,0.238095238,0.372222222,0.444444444,0.504761905,1.350486398,103.9435731
nan hua primary school,0.083333333,0.166666667,0.108333333,0.125,1.319836638,103.761404
greenwood primary school,0.295833333,0.614285714,0.585714286,0.583333333,1.440110488,103.8046293
geylang methodist school (primary),0.262962963,0.562962963,0.555555556,0.496296296,1.31759275,103.883893
admiralty primary school,0.2,0.423809524,0.380952381,0.219047619,1.442549639,103.8002137
opera estate primary school,0.294444444,0.55,0.606666667,0.477777778,1.319968755,103.9237527
punggol green primary school,0.379166667,0.641666667,0.614814815,0.35625,1.401804873,103.8987729
chij our lady of good counsel,0.293333333,0.52,0.653333333,0.546666667,1.357994949,103.8641521
catholic high school,0.083333333,0.091666667,0.1,0.0875,1.354388784,103.8442107
westwood primary school,0.3125,0.633333333,0.5125,0.25,1.347154632,103.7005267
maris stella high school,0.211111111,0.214814815,0.281481481,0.155555556,1.342183957,103.8780964
mee toh school,0.223333333,0.366666667,0.4,0.275,1.394853563,103.9085726
chongfu school,0.186666667,0.276666667,0.246666667,0.12,1.438462304,103.8390707
kheng cheng school,0.204166667,0.566666667,0.620833333,0.483333333,1.337288184,103.8471411
punggol cove primary school,0.5,0.970833333,0.87,0.696875,1.411563565,103.8989704
springdale primary school,0.366666667,0.679166667,0.541666667,0.425925926,1.394958184,103.8898965
hong wen school,0.180952381,0.361904762,0.252380952,0.128571429,1.321689285,103.8576518
north view primary school,0.3,0.572222222,0.588888889,0.455555556,1.427523266,103.8481908
blangah rise primary school,0.373333333,0.791666667,0.883333333,0.766666667,1.276120344,103.8086284
ahmad ibrahim primary school,0.327777778,0.666666667,0.716666667,0.7,1.433681207,103.8329243
seng kang primary school,0.320833333,0.6125,0.708333333,0.7,1.389250457,103.8995279
chua chu kang primary school,0.2875,0.380952381,0.438095238,0.485714286,1.377743283,103.7418605
punggol view primary school,0.333333333,0.575,0.544444444,0.48125,1.405333314,103.9053865
ai tong school,0.060606061,0.106060606,0.084848485,0.060606061,1.360736365,103.8330757
corporation primary school,0.261904762,0.576190476,0.623809524,0.658333333,1.35148549,103.7075784
woodgrove primary school,0.2625,0.538095238,0.485714286,0.380952381,1.43305806,103.7903896
zhangde primary school,0.25,0.6125,0.466666667,0.466666667,1.28449822,103.826149
beacon primary school,0.3,0.571428571,0.59047619,0.641666667,1.384236677,103.7737544
guangyang primary school,0.411111111,0.78,0.808333333,0.833333333,1.346042665,103.8492848
radin mas primary school,0.183333333,0.329166667,0.2,0.10952381,1.274961612,103.82418
bukit timah primary school,0.333333333,0.727777778,0.677777778,0.780952381,1.337749867,103.7668553
jiemin primary school,0.227777778,0.566666667,0.427777778,0.404761905,1.427646852,103.8304804
yuhua primary school,0.35,0.644444444,0.586666667,0.738095238,1.342919818,103.7408611
changkat primary school,0.3,0.593333333,0.672222222,0.638888889,1.339973347,103.9522739
canberra primary school,0.2375,0.285714286,0.219047619,0.204761905,1.451064007,103.8159709
woodlands primary school,0.233333333,0.428571429,0.466666667,0.3,1.434769705,103.7978411
de la salle school,0.251851852,0.5,0.511111111,0.455555556,1.395071916,103.7434436
yumin primary school,0.266666667,0.62,0.486666667,0.513333333,1.351459603,103.9507161
fengshan primary school,0.2,0.480952381,0.566666667,0.485714286,1.330324955,103.9318854
fuchun primary school,0.276190476,0.405555556,0.444444444,0.542857143,1.430639758,103.7781752
fairfield methodist school (primary),0.111111111,0.085185185,0.125925926,0.122222222,1.301004419,103.7854556
compassvale primary school,0.295833333,0.495833333,0.5125,0.3875,1.394529831,103.8978648
fernvale primary school,0.333333333,0.666666667,0.575,0.640740741,1.389979408,103.874101
rosyth school,0.12,0.216666667,0.103333333,0.066666667,1.372915796,103.8746932
jurong primary school,0.183333333,0.475,0.419047619,0.238095238,1.339243753,103.6988958
chij our lady of the nativity,0.316666667,0.408333333,0.416666667,0.383333333,1.373574097,103.897769
lianhua primary school,0.333333333,0.686666667,0.777777778,0.742857143,1.354155069,103.7542104
tanjong katong primary school,0.241666667,0.5,0.595833333,0.6,1.305307371,103.9005317
rivervale primary school,0.25,0.516666667,0.5375,0.3,1.393573805,103.9047183
henry park primary school,0.066666667,0.08,0.156666667,0.073333333,1.316725811,103.7842083
jing shan primary school,0.322222222,0.593333333,0.426666667,0.34,1.371892676,103.8518111
northland primary school,0.220833333,0.233333333,0.225,0.125,1.421304044,103.8407929
naval base primary school,0.344444444,0.75,0.704761905,0.55,1.416280153,103.8387977
yishun primary school,0.314285714,0.533333333,0.623809524,0.595238095,1.433496399,103.8340274
teck ghee primary school,0.3,0.457142857,0.419047619,0.4,1.365200631,103.8510322
nan chiau primary school,0.2,0.243333333,0.236666667,0.173333333,1.392064685,103.890925
queenstown primary school,0.3625,0.6375,0.679166667,0.595833333,1.295988446,103.8079019
cantonment primary school,0.319047619,0.638095238,0.661904762,0.671428571,1.275505441,103.8399227
nanyang primary school,0.051282051,0.051282051,0.058974359,0.051282051,1.32111549,103.8064681
sembawang primary school,0.366666667,0.661111111,0.677777778,0.623809524,1.445043645,103.8210215
xinghua primary school,0.366666667,0.686666667,0.666666667,0.7625,1.357996547,103.8902164
sengkang green primary school,0.291666667,0.554166667,0.433333333,0.196296296,1.392839251,103.8751588
shuqun primary school,0.2625,0.4375,0.3875,0.375,1.34756849,103.721558
yio chu kang primary school,0.35,0.7,0.74,0.8,1.377822709,103.8855687
bukit panjang primary school,0.1875,0.379166667,0.3125,0.291666667,1.373472192,103.7693175
lakeside primary school,0.245833333,0.5625,0.519047619,0.352380952,1.338375696,103.7180969
ang mo kio primary school,0.328571429,0.666666667,0.728571429,0.711111111,1.369092065,103.8390414
gongshang primary school,0.183333333,0.261904762,0.2,0.119047619,1.357348982,103.9488719
river valley primary school,0.166666667,0.358333333,0.383333333,0.266666667,1.294183475,103.8360189
